Subsystems,t0000_1,t0000_2,t0005,t0060,t1440,t2880,Genes
"Transport, Lysosomal",0,0,0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,0,0,
"Transport, Lysosomal",0,0,0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,0,0,
"Transport, Lysosomal",0,0,0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,0,0,
"Transport, Lysosomal",0,0,0,0,0,0,
"Transport, Mitochondrial",-365.1825,999.4041,995.505,-999.3183,-671.7929,-998.9611,
"Transport, Mitochondrial",0,0,0,0,0,0,
"Transport, Endoplasmic Reticular",0,0,0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,0,0,
"Transport, Endoplasmic Reticular",0,0,0,0,0,0,
"beta-Alanine metabolism",0,0,0,0,0,0,ABP1,AOC2,AOC3
"Transport, Extracellular",0,0,0,0,0,0,
"Lysine Metabolism",0,0,0,0,0,0.03948908,
"Vitamin D",0,0,0,0,0,0,
"Vitamin D",0,0,0,0,0,0,
"Vitamin D",0,0,0,0,0,0,
"Vitamin D",0,0,0,0,0,0,
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,0,0,
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,0,0,
"Vitamin D",0,0,0,0,0,0,CYP24A1
"Vitamin D",0,0,0,0,0,0,CYP24A1
"Transport, Extracellular",-100,-100,-100,-100,-100,-100,
"Transport, Extracellular",-100,-100,-100,-100,-100,-100,
"Transport, Mitochondrial",0,0,0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,0,0,
"Transport, Extracellular",-100,-100,100,-100,-100,100,
"Transport, Extracellular",-100,-100,100,-100,-100,100,
"Transport, Mitochondrial",0,0,0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,0,0,
"Vitamin D",0,0,0,0,0,0,CYP27B1
"Vitamin D",0,0,0,0,0,0,CYP27B1
"Glycine, Serine, and Threonine Metabolism",0,0,0,0,0,0,
"Cysteine Metabolism",0,0,0,0,0,0,
"Lysine Metabolism",-0.03948908,-0.03948908,-0.03948908,-0.03948908,-0.03948908,0,SLC25A21
"Pyrimidine Catabolism",1.712425,0,1.723285,1.297078,1.732256,0,
"Propanoate Metabolism",-0.07477153,-0.07477153,-0.07477153,-0.07477153,-0.07477153,-0.07477153,LDHAL6A,LDHA,LDHB,LDHC,UEVLD,LDHAL6B
"Transport, Extracellular",-0.07477153,-0.07477153,-0.07477153,-0.07477153,-0.07477153,-0.07477153,SLC16A1,SLC16A3,SLC16A7
"Transport, Extracellular",-100,-100,-100,-100,-100,-100,SLC4A5,SLC4A4
"Transport, Extracellular",0,0,0,0,0,0,
"Lysine Metabolism",0.08843799,0.08843799,0.08843799,0.08843799,0.08843799,0.08843799,DLD,DLST,OGDH,PDHX
"Tryptophan metabolism",0.08843799,0.08843799,0.08843799,0.08843799,0.08843799,0.08843799,SLC25A21
"Tyrosine metabolism",0,0,0,0,0,0,ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,ADHFE1
"Transport, Extracellular",0,0,0,0,0,0,
"Tyrosine metabolism",0,0,0,0,0,0,COMT
"Transport, Extracellular",0,0,0,0,0,0,SLC16A10
"Tyrosine metabolism",0,0,0,0,0,0,ALDH3A1,ALDH1A3,ALDH3B1,ALDH3B2
"Tyrosine metabolism",0,0,0,0,0,0,ALDH3A1,ALDH3B1,ALDH3B2
"Tyrosine metabolism",0,0,0,0,0,0,ALDH3A1,ALDH1A3,ALDH3B1
"Tyrosine metabolism",0,0,0,0,0,0,ALDH3B1,ALDH3B2
"Ubiquinone Biosynthesis",0,0,0,0,0,0,
"Tyrosine metabolism",0.08948908,0,0.08948908,0.08948908,0.08948908,0.08948908,HPD
"Transport, Nuclear",0,0,0,0,4.488036,0,
"Valine, Leucine, and Isoleucine Metabolism",0,0,0,0,0,0,ABAT
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,0,0,
"Ubiquinone Biosynthesis",0,0,0,0,0,0,
"Ubiquinone Biosynthesis",0,0,0,0,0,0,
"Sphingolipid Metabolism",0.002732612,0.002732612,0.002732612,0.002732612,0.002732612,0.002732612,KDSR
"Tryptophan metabolism",0.04894891,0.04894891,0.04894891,0.04894891,0.04894891,0.04894891,HAAO
"Butanoate Metabolism",0,0,0,0,0,0,ECHDC2
"Valine, Leucine, and Isoleucine Metabolism",0.03628025,0.03628025,0.03628025,0.03628025,0.03628025,0.03628025,
"Transport, Extracellular",-100,-100,-100,-100,-100,-100,SLC4A5,SLC4A4
"Tryptophan metabolism",0,0,0,0,0,0,AADAT,CCBL1
"Tyrosine metabolism",0,0,0,0,0,0,DDC
"beta-Alanine metabolism",0,0,0,0,0,0,HIBCH
"Propanoate Metabolism",0,0,0,0,0,0,
"Tryptophan metabolism",0,0,0,0,0,0,DDC
"Tryptophan metabolism",0,0,0,0,0,0,MAOA,MAOB
"Tyrosine metabolism",0,0,0,0,0,0,ALDH3A1,ALDH1A3,ALDH3B1,ALDH3B2
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,0,0,
"Tyrosine metabolism",0,0,0,0,0,0,ALDH3A1,ALDH1A3,ALDH3B1,ALDH3B2
