Subsystems,t0005,t0060,t1440,t2880,Genes
"Transport, Lysosomal",0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,
"Transport, Lysosomal",0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,
"Transport, Lysosomal",0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,
"Transport, Lysosomal",0,0,0,0,
"Transport, Mitochondrial",-999.8923,-1000,-1000,-999.9001,
"Transport, Mitochondrial",0,0,0,0,
"Transport, Endoplasmic Reticular",0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,
"Transport, Endoplasmic Reticular",0,0,0,0,
"beta-Alanine metabolism",0,0,0.001,0,ABP1,AOC2,AOC3
"Transport, Extracellular",0,0,0,0,
"Lysine Metabolism",0,0,0,0,
"Vitamin D",0,0,0,0,
"Vitamin D",0,0,0,0,
"Vitamin D",0,0,0,0,
"Vitamin D",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,
"Vitamin D",0,0,0,0,CYP24A1
"Vitamin D",0,0,0,0,CYP24A1
"Transport, Extracellular",-100,-100,-100,-100,
"Transport, Extracellular",-100,-100,-100,-100,
"Transport, Mitochondrial",0,1000,1000,1000,
"Transport, Mitochondrial",0,1000,1000,1000,
"Transport, Extracellular",-100,100,100,-100,
"Transport, Extracellular",-100,100,100,-100,
"Transport, Mitochondrial",0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,
"Vitamin D",0,0,0,0,CYP27B1
"Vitamin D",0,0,0,0,CYP27B1
"Glycine, Serine, and Threonine Metabolism",0,0,0,0,
"Cysteine Metabolism",0,0,0,0,
"Lysine Metabolism",-0.03955105,-0.03954152,-0.03949385,-0.03950815,SLC25A21
"Pyrimidine Catabolism",0,0,0,0,
"Propanoate Metabolism",-0.07492027,-0.07489739,-0.07478297,-0.0748173,LDHAL6A,LDHA,LDHB,LDHC,UEVLD,LDHAL6B
"Transport, Extracellular",-0.07492027,-0.07489739,-0.07478297,-0.0748173,SLC16A1,SLC16A3,SLC16A7
"Transport, Extracellular",-100,-100,-100,-100,SLC4A5,SLC4A4
"Transport, Extracellular",0,0,0,0,
"Lysine Metabolism",0.08850616,0.08849567,0.08844323,0.08845896,DLD,DLST,OGDH,PDHX
"Tryptophan metabolism",0.08850616,0.08849567,0.08844323,0.08845896,SLC25A21
"Tyrosine metabolism",0,0,0,0,ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,ADHFE1
"Transport, Extracellular",0,0,0,0,
"Tyrosine metabolism",0,0,0,0,COMT
"Transport, Extracellular",0,0,0,0,SLC16A10
"Tyrosine metabolism",1000,0,1000,0,ALDH3A1,ALDH1A3,ALDH3B1,ALDH3B2
"Tyrosine metabolism",-1000,0,-1000,0,ALDH3A1,ALDH3B1,ALDH3B2
"Tyrosine metabolism",1000,0,1000,0,ALDH3A1,ALDH1A3,ALDH3B1
"Tyrosine metabolism",-1000,0,-1000,0,ALDH3B1,ALDH3B2
"Ubiquinone Biosynthesis",0,0,0,0,
"Tyrosine metabolism",0.08955105,0.08954152,0.08949385,0.08950815,HPD
"Transport, Nuclear",0.0619293,0,0,0,
"Valine, Leucine, and Isoleucine Metabolism",0,0,0,0,ABAT
"Transport, Extracellular",0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,
"Ubiquinone Biosynthesis",0,0,0,0,
"Ubiquinone Biosynthesis",0,0,0,0,
"Sphingolipid Metabolism",0.002716501,0.00271898,0.002731372,0.002727655,KDSR
"Tryptophan metabolism",0.04895511,0.04895415,0.04894938,0.04895081,HAAO
"Butanoate Metabolism",0,0,0,0,ECHDC2
"Valine, Leucine, and Isoleucine Metabolism",0.03636114,0.03634869,0.03628647,0.03630514,
"Transport, Extracellular",-100,-100,-100,-100,SLC4A5,SLC4A4
"Tryptophan metabolism",0,0,0,0,AADAT,CCBL1
"Tyrosine metabolism",0,0,0,0,DDC
"beta-Alanine metabolism",0,0,0,0,HIBCH
"Propanoate Metabolism",0,0,0,0,
"Tryptophan metabolism",0,0,0,0,DDC
"Tryptophan metabolism",0,0,0,0,MAOA,MAOB
"Tyrosine metabolism",0,0,0,0,ALDH3A1,ALDH1A3,ALDH3B1,ALDH3B2
"Transport, Extracellular",0,0,0,0,
"Transport, Mitochondrial",0,0.2159342,0,0,
"Transport, Mitochondrial",0,0,0,0,
"Tyrosine metabolism",0.0899919,0,1000,0,ALDH3A1,ALDH1A3,ALDH3B1,ALDH3B2
"Tyrosine metabolism",-0.0899919,0,-1000,0,ALDH3A1,ALDH1A3,ALDH3B1,ALDH3B2
"Tyrosine metabolism",0,0,0,0,MAOA,MAOB
"Nucleic acid degradation",0,0,0,0,ACP2
"Transport, Mitochondrial",0,-0.09654769,-0.09653195,0,SLC25A13,SLC25A12
"Taurine and hypotaurine metabolism",0,0,0,0,GAD1,GAD2,CSAD
"Taurine and hypotaurine metabolism",0,0,0,0.04826834,
"Cysteine Metabolism",0.09555083,0,0,0,GOT1
"Cysteine Metabolism",0,0.09654769,0.09653195,0,GOT2
"Cysteine Metabolism",0.09555083,0,0,0,
"Cysteine Metabolism",0,0.09654769,0.09653195,0,
"Tyrosine metabolism",0,0,0,0,MAOA,MAOB
"Tyrosine metabolism",0,0,0,0,MAOA,MAOB
"Tyrosine metabolism",0,0,0,0,ABP1,AOC2,MAOA,MAOB,AOC3
"Transport, Mitochondrial",0,0,0.001,0.001,
"Ubiquinone Biosynthesis",0,0,0,0,
"Ubiquinone Biosynthesis",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Arginine and Proline Metabolism",-1000,-1000,-1000,-1000,ALDH4A1
"Tyrosine metabolism",0,0,0,0,ALDH3A1,ALDH1A3,ALDH3B1,ALDH3B2
"Transport, Mitochondrial",0.09579161,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"CYP Metabolism",0,0,0,0,SULT1A2,SULT1A1,SULT1A3
"Transport, Extracellular",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Extracellular",0,0,0,0,ABCC1
"Transport, Endoplasmic Reticular",0,0,0,0,
"Steroid Metabolism",0,0,0,0,SULT2A1
"Transport, Extracellular",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Endoplasmic Reticular",0,0,0,0,
"Heme Biosynthesis",-0.016,-0.016,0,-0.008,
"Transport, Lysosomal",0,0,0,0,
"Transport, Extracellular",0,0,0,0,SLC19A1
"Tryptophan metabolism",0,0,0,0,DDC
"Transport, Extracellular",0,0,0,0,
"Tryptophan metabolism",0,0,0,0,AOX1
"Tryptophan metabolism",0,0,0,0,ALDH1A1,ALDH9A1,ALDH3A2,ALDH7A1,ALDH1A2
"Tryptophan metabolism",0,0,0,0,ALDH2,ALDH1B1,ALDH4A1
"Tryptophan metabolism",0,0,0,0,MAOA,MAOB
"Tryptophan metabolism",0,0,0,0,IDO1
"Transport, Extracellular",0,0,0,0,SLC18A1,SLC18A2
"Tryptophan metabolism",0,0,0,0,DDC
"Tryptophan metabolism",0,0,0,0,MAOA,MAOB
"Transport, Extracellular",-100,-100,-100,-100,FOLR1,FOLR2L,FOLR3
"Transport, Extracellular",100,100,100,100,SLC19A1
"Transport, Lysosomal",0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,
"Transport, Lysosomal",0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
